index,Name,published,type,downloads,onlineTime,steamRate,steamComments,24h Peak,All-Time Peak,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained,VPR
903,Griftlands,2020/6/14,Others,160000,00:27 (00:13),96%,"4,982",456,"7,693",0,0,0,0,0,0,0,0.0,0,0,0.0
904,PixARK,2019/5/31,Rpg,263000,00:00 (00:00),69%,"5,757",455,"14,144",0,0,0,0,0,0,0,0.0,0,0,0.0
905,War of Rights,2018/12/3,Strategy,118000,00:00 (00:00),84%,"3,814",454,"1,327",0,0,0,0,0,0,0,0.0,0,0,0.0
906,Ultimate Custom Night,2018/6/27,Action,1942000,02:19 (01:55),95%,"19,292",452,"11,320",0,0,0,0,0,0,0,0.0,0,0,0.0
907,Gothic II: Gold Edition,2005/11/29,Rpg,669000,00:00 (00:00),89%,"4,968",451,691,0,0,0,0,0,0,0,0.0,0,0,0.0
908,Night of the Dead,2020/8/28,Action,158000,00:00 (00:00),84%,"2,661",451,"4,434",0,0,0,0,0,0,0,0.0,0,0,0.0
909,Order of Battle: World War II,2015/4/30,Strategy,292000,00:00 (00:00),74%,"1,907",448,"2,171",0,0,0,0,0,0,0,0.0,0,0,0.0
911,VA-11 Hall-A: Cyberpunk Bartender Action,2016/6/21,Simulation,644000,00:00 (00:00),97%,"18,999",448,"1,574",0,0,0,0,0,0,0,0.0,0,0,0.0
912,No More Room in Hell,2013/10/31,Action,8187000,04:34 (04:30),89%,"59,028",448,"10,922",0,0,0,0,0,0,0,0.0,0,0,0.0
914,Sword Art Online: Fatal Bullet,2018/2/23,Rpg,616000,00:00 (00:00),79%,"11,106",446,"21,727",0,0,0,0,0,0,0,0.0,0,0,0.0
915,KnightShift,2003/12/31,Rpg,885000,00:00 (00:00),69%,242,445,"8,446",0,0,0,0,0,0,0,0.0,0,0,0.0
916,A Plague Tale: Innocence,2019/5/14,Action,737000,01:02 (00:41),93%,"24,490",445,"4,058",510720,66300,1203,39,266,118,15,7.7,287,6475,5.859728507000001
917,Septerra Core,1999/10/31,Others,484000,00:00 (00:00),80%,377,444,"5,413",0,0,0,0,0,0,0,0.0,0,0,0.0
918,Hotline Miami 2: Wrong Number,2015/3/10,Action,1534000,00:18 (00:06),92%,"26,940",442,"18,950",0,0,0,0,0,0,0,0.0,0,0,0.0
919,Ni no Kuni Wrath of the White Witch Remastered,2019/9/19,Adventure,57000,00:00 (00:00),89%,978,440,"1,170",0,0,0,0,0,0,0,0.0,0,0,0.0
920,Blasphemous,2019/9/10,Action,343000,00:00 (00:00),88%,"7,164",440,"3,247",0,0,0,0,0,0,0,0.0,0,0,0.0
921,Dungeons & Dragons Online,2012/6/25,Massive,1196000,00:00 (00:00),70%,"4,143",439,"2,854",0,0,0,0,0,0,0,0.0,0,0,0.0
922,LEGO MARVEL Super Heroes 2,2017/11/14,Others,171000,00:00 (00:00),83%,"2,319",439,"1,047",0,0,0,0,0,0,0,0.0,0,0,0.0
923,Atlantica Global,2020/5/14,Rpg,91000,00:00 (00:00),64%,489,438,"1,761",0,0,0,0,0,0,0,0.0,0,0,0.0
924,Wasteland 2: Director's Cut,2014/9/18,Rpg,802000,00:00 (00:00),82%,"4,466",437,"3,285",0,0,0,0,0,0,0,0.0,0,0,0.0
925,Elsword,2014/7/2,Rpg,1440000,00:00 (00:00),75%,"7,666",436,"2,587",0,0,0,0,0,0,0,0.0,0,0,0.0
926,Stronghold HD,2013/10/21,Strategy,762000,00:00 (00:00),94%,"4,330",436,755,0,0,0,0,0,0,0,0.0,0,0,0.0
928,House Party,2017/6/30,Simulation,326000,00:00 (00:00),87%,"6,985",435,"1,074",0,0,0,0,0,0,0,0.0,0,0,0.0
929,Darksiders III,2018/11/27,Rpg,361000,00:00 (00:00),75%,"6,548",434,"7,730",0,0,0,0,0,0,0,0.0,0,0,0.0
930,UnderMine,2020/8/6,Rpg,149000,04:27 (02:54),93%,"4,423",433,"3,245",0,0,0,0,0,0,0,0.0,0,0,0.0
931,Eternal Card Game,2018/11/15,Strategy,623000,00:00 (00:00),78%,"5,825",432,"2,894",835020,16860,349,10,49,193,3,49.53,78,7714,27.451957300000004
932,GUILTY GEAR Xrd -REVELATOR-,2016/12/14,Action,286000,00:00 (00:00),,,432,"1,315",0,0,0,0,0,0,0,0.0,0,0,0.0
933,The Awesome Adventures of Captain Spirit,2018/6/25,Adventure,2712000,00:00 (00:00),92%,"11,014",430,"8,739",0,0,0,0,0,0,0,0.0,0,0,0.0
935,Wizard101,2008/9/2,Rpg,386000,00:00 (00:00),78%,"2,490",428,754,0,0,0,0,0,0,0,0.0,0,0,0.0
937,懒人修仙传,2018/11/15,Rpg,89000,00:00 (00:00),66%,904,428,"1,522",0,0,0,0,0,0,0,0.0,0,0,0.0
938,Witch It,2017/5/31,Action,353000,00:16 (00:05),86%,"5,531",427,"1,582",0,0,0,0,0,0,0,0.0,0,0,0.0
939,VALKYRIE CONNECT,2020/4/2,Rpg,96000,00:00 (00:00),78%,366,427,867,0,0,0,0,0,0,0,0.0,0,0,0.0
940,Katana ZERO,2019/4/18,Action,790000,00:00 (00:00),98%,"25,537",427,"1,575",0,0,0,0,0,0,0,0.0,0,0,0.0
941,Tropico 5,2014/5/23,Rpg,1314000,00:00 (00:00),78%,"8,448",426,"13,483",0,0,0,0,0,0,0,0.0,0,0,0.0
942,Bejeweled 3,2010/12/7,Strategy,462000,00:00 (00:00),95%,"2,332",426,"1,415",0,0,0,0,0,0,0,0.0,0,0,0.0
943,Watch_Dogs,2014/5/26,Action,891000,00:00 (00:00),70%,"26,236",426,"47,887",0,0,0,0,0,0,0,0.0,0,0,0.0
944,AdventureQuest 3D,2016/10/19,Rpg,961000,05:10 (05:01),78%,"5,835",426,"2,098",0,0,0,0,0,0,0,0.0,0,0,0.0
945,Blackwake,2020/2/19,Strategy,481000,00:00 (00:00),83%,"14,785",424,"6,159",0,0,0,0,0,0,0,0.0,0,0,0.0
946,POSTAL 2,2003/4/13,Action,3192000,00:00 (00:00),95%,"43,493",424,"4,636",0,0,0,0,0,0,0,0.0,0,0,0.0
947,Might & Magic Heroes VII,2015/9/29,Rpg,350000,00:00 (00:00),51%,"4,135",424,"4,993",0,0,0,0,0,0,0,0.0,0,0,0.0
948,Terminal Hacker,2016/12/1,Others,159000,00:00 (00:00),25%,12,423,649,0,0,0,0,0,0,0,0.0,0,0,0.0
949,Salt and Sanctuary,2016/5/17,Rpg,432000,00:00 (00:00),91%,"10,499",422,"2,430",0,0,0,0,0,0,0,0.0,0,0,0.0
950,OVR Toolkit,2019/6/28,Others,114000,15:18 (10:12),91%,650,420,679,0,0,0,0,0,0,0,0.0,0,0,0.0
953,Spiral Knights,2011/6/14,Rpg,3242000,00:00 (00:00),83%,"21,065",419,"13,143",0,0,0,0,0,0,0,0.0,0,0,0.0
954,Untitled Goose Game,2020/9/23,Action,125000,00:00 (00:00),93%,"1,586",419,"1,951",418680,35760,685,23,259,96,8,11.71,987,6921,11.61241611
955,Chinese Parents,2018/9/29,Rpg,1701000,00:58 (00:51),91%,"18,535",418,"32,593",0,0,0,0,0,0,0,0.0,0,0,0.0
957,Serious Sam 4,2020/9/24,Action,180000,00:19 (00:19),82%,"5,550",417,"8,522",0,0,0,0,0,0,0,0.0,0,0,0.0
958,Ori and the Blind Forest,2015/3/10,Action,1456000,01:01 (00:59),95%,"37,149",417,"13,108",1330740,115680,2338,55,574,308,26,11.5,956,21458,11.12966805
960,LEGO Harry Potter: Years 1-4,2010/6/25,Adventure,477000,00:00 (00:00),82%,"2,820",416,"1,009",0,0,0,0,0,0,0,0.0,0,0,0.0
961,The Witness,2016/1/26,Adventure,684000,00:00 (00:00),86%,"8,279",416,"6,185",0,0,0,0,0,0,0,0.0,0,0,0.0
962,Pro Cycling Manager 2019,2019/6/27,Sports,72000,00:00 (00:00),77%,412,415,"3,467",0,0,0,0,0,0,0,0.0,0,0,0.0
963,Gloria Victis,2016/6/9,Rpg,259000,00:00 (00:00),69%,"4,021",415,"1,481",0,0,0,0,0,0,0,0.0,0,0,0.0
964,Fable Anniversary,2014/9/12,Rpg,750000,00:00 (00:00),82%,"6,778",413,"6,186",0,0,0,0,0,0,0,0.0,0,0,0.0
966,Mass Effect 2,2010/1/26,Rpg,1770000,00:00 (00:00),94%,"12,087",409,"13,320",0,0,0,0,0,0,0,0.0,0,0,0.0
967,The Elder Scrolls V: Skyrim VR,2018/4/2,Rpg,417000,00:00 (00:00),77%,"3,863",408,"3,048",0,0,0,0,0,0,0,0.0,0,0,0.0
968,Planetary Annihilation: TITANS,2015/8/18,Strategy,693000,00:00 (00:00),83%,"7,611",408,"4,577",0,0,0,0,0,0,0,0.0,0,0,0.0
969,Survarium,2015/4/2,Rpg,4009000,00:00 (00:00),53%,"23,220",408,"4,382",0,0,0,0,0,0,0,0.0,0,0,0.0
970,XCOM: Chimera Squad,2020/4/23,Strategy,478000,00:00 (00:00),72%,"14,169",405,"35,955",0,0,0,0,0,0,0,0.0,0,0,0.0
971,OCTOPATH TRAVELER,2019/6/7,Rpg,239000,00:00 (00:00),84%,"4,557",405,"6,177",0,0,0,0,0,0,0,0.0,0,0,0.0
972,Coloring Pixels,2018/8/17,Others,354000,00:00 (00:00),96%,"3,369",404,"1,535",0,0,0,0,0,0,0,0.0,0,0,0.0
973,Dragon Age: Origins,2009/11/5,Rpg,947000,00:00 (00:00),92%,"7,357",402,"7,089",0,0,0,0,0,0,0,0.0,0,0,0.0
974,Dragon Age II,2011/3/8,Rpg,70000,00:00 (00:00),79%,423,400,492,0,0,0,0,0,0,0,0.0,0,0,0.0
976,Prominence Poker,2016/12/12,Strategy,493000,00:00 (00:00),84%,"3,765",399,912,1198980,22080,4955,15,110,277,5,54.3,70,9155,24.87771739
977,Helltaker,2020/5/11,Adventure,1595000,00:00 (00:00),97%,"60,030",397,"6,239",0,0,0,0,0,0,0,0.0,0,0,0.0
978,Wolfenstein: Youngblood,2019/7/25,Action,660000,00:00 (00:00),46%,"5,725",397,"6,582",0,0,0,0,0,0,0,0.0,0,0,0.0
980,Romance of the Three Kingdoms XI with Power Up Kit,2018/1/16,Strategy,67000,00:00 (00:00),90%,"1,268",396,913,0,0,0,0,0,0,0,0.0,0,0,0.0
981,The Talos Principle,2014/12/11,Action,1156000,06:50 (02:16),95%,"19,639",395,"4,007",0,0,0,0,0,0,0,0.0,0,0,0.0
982,Wolcen: Lords of Mayhem,2020/2/13,Rpg,2292000,02:37 (01:18),55%,"51,756",395,"127,542",0,0,0,0,0,0,0,0.0,0,0,0.0
984,Kritika:REBOOT,2019/11/11,Rpg,818000,00:00 (00:00),76%,"4,359",394,"3,788",0,0,0,0,0,0,0,0.0,0,0,0.0
985,Partisans 1941,2020/10/14,Strategy,67000,01:54 (01:54),84%,"1,207",394,"3,061",0,0,0,0,0,0,0,0.0,0,0,0.0
986,Streets of Rogue,2019/7/12,Rpg,554000,00:00 (00:00),96%,"8,775",393,"4,320",0,0,0,0,0,0,0,0.0,0,0,0.0
987,Mini World: Block Art,2018/4/27,Simulation,1365000,00:00 (00:00),44%,"2,345",393,903,0,0,0,0,0,0,0,0.0,0,0,0.0
989,Portal Knights,2017/5/18,Rpg,885000,02:58 (00:59),82%,"13,512",391,"6,545",0,0,0,0,0,0,0,0.0,0,0,0.0
990,Orcs Must Die! 2,2012/7/30,Rpg,2372000,00:00 (00:00),94%,"10,408",390,"16,119",0,0,0,0,0,0,0,0.0,0,0,0.0
991,Dead Space,2009/1/9,Action,2172000,03:57 (02:38),90%,"10,862",390,"2,305",693060,67740,797,34,445,160,15,10.23,351,9366,8.295837023999999
992,Bloons Monkey City,2014/12/4,Strategy,496000,00:00 (00:00),88%,"1,018",390,"1,198",0,0,0,0,0,0,0,0.0,0,0,0.0
994,Littlewood,2020/8/4,Rpg,145000,00:00 (00:00),95%,"2,212",388,"1,678",0,0,0,0,0,0,0,0.0,0,0,0.0
995,Thief Simulator,2018/11/9,Action,548000,00:00 (00:00),84%,"8,101",388,"2,697",1663200,12960,22042,12,101,385,3,128.33,1232,21494,99.50925926
996,Creeper World 3: Arc Eternal,2014/3/27,Strategy,257000,00:00 (00:00),96%,"2,938",387,"3,303",0,0,0,0,0,0,0,0.0,0,0,0.0
997,LEGO City Undercover,2017/4/4,Others,281000,19:13 (06:24),81%,"1,515",387,833,0,0,0,0,0,0,0,0.0,0,0,0.0
999,Ratropolis,2019/11/1,Strategy,148000,00:00 (00:00),89%,"2,333",387,"1,321",0,0,0,0,0,0,0,0.0,0,0,0.0
1000,Hero Zero,2016/7/5,Rpg,456000,00:00 (00:00),78%,"2,312",384,"1,447",0,0,0,0,0,0,0,0.0,0,0,0.0
