index,Name,published,type,downloads,onlineTime,steamRate,steamComments,24h Peak,All-Time Peak,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained,VPR
741,Talisman: Digital Edition,2014/2/25,Rpg,450000,00:00 (00:00),79%,"3,262",613,"3,590",0,0,0,0,0,0,0,0.0,0,0,0.0
742,Endless Legend - Emperor Edition,2014/9/18,Others,1245000,00:00 (00:00),84%,"11,980",607,"10,468",0,0,0,0,0,0,0,0.0,0,0,0.0
743,Tales of Berseria,2017/1/26,Rpg,516000,00:00 (00:00),93%,"8,374",607,"8,085",0,0,0,0,0,0,0,0.0,0,0,0.0
744,The Descendant,2016/3/24,Adventure,506000,00:00 (00:00),87%,"4,151",604,"14,052",0,0,0,0,0,0,0,0.0,0,0,0.0
745,PrprLive,2020/5/14,Others,38000,00:00 (00:00),94%,194,603,694,0,0,0,0,0,0,0,0.0,0,0,0.0
746,Sniper Elite 3,2014/6/27,Action,1812000,00:12 (00:04),80%,"14,089",603,"10,861",0,0,0,0,0,0,0,0.0,0,0,0.0
747,City Car Driving,2016/11/3,Simulation,549000,00:50 (00:44),76%,"6,571",603,940,0,0,0,0,0,0,0,0.0,0,0,0.0
749,Kingdom Two Crowns,2018/12/11,Strategy,441000,00:00 (00:00),87%,"4,793",600,"3,223",0,0,0,0,0,0,0,0.0,0,0,0.0
750,30 IMPOSSIBLE LEVELS,2020/9/4,Action,24000,00:00 (00:00),93%,15,598,"22,078",0,0,0,0,0,0,0,0.0,0,0,0.0
752,Plague Inc: Evolved,2016/2/18,Strategy,2199000,00:43 (00:29),94%,"31,175",597,"17,889",0,0,0,0,0,0,0,0.0,0,0,0.0
753,TerraTech,2018/8/10,Action,474000,03:14 (01:04),90%,"9,673",592,"5,726",0,0,0,0,0,0,0,0.0,0,0,0.0
756,Transport Fever,2016/11/8,Simulation,542000,00:00 (00:00),81%,"7,893",589,"12,615",0,0,0,0,0,0,0,0.0,0,0,0.0
757,Craft The World,2014/11/24,Rpg,500000,00:00 (00:00),88%,"9,400",589,"3,283",0,0,0,0,0,0,0,0.0,0,0,0.0
759,Batman: Arkham Origins,2013/10/24,Adventure,1760000,00:00 (00:00),85%,"17,861",587,"25,017",0,0,0,0,0,0,0,0.0,0,0,0.0
760,Shop Heroes,2016/8/15,Rpg,590000,00:00 (00:00),69%,"3,452",587,"4,222",0,0,0,0,0,0,0,0.0,0,0,0.0
761,Automation - The Car Company Tycoon Game,2015/3/12,Strategy,363000,03:02 (02:01),90%,"4,199",582,"1,235",0,0,0,0,0,0,0,0.0,0,0,0.0
762,Max Payne 3,2012/5/31,Action,1918000,00:00 (00:00),83%,"26,694",582,"9,594",905340,9900,2847,7,39,209,2,91.45,63,19367,117.37575759999999
763,Tower Unite,2016/4/8,Action,557000,04:12 (01:24),88%,"8,581",580,"1,603",2360520,11640,51299,9,95,546,2,202.79,214,27062,139.4948454
765,Dead Frontier 2,2019/7/15,Rpg,2762000,00:00 (00:00),70%,"14,939",579,"10,101",0,0,0,0,0,0,0,0.0,0,0,0.0
766,FINAL FANTASY X/X-2 HD Remaster,2016/5/12,Rpg,774000,17:50 (11:53),90%,"8,906",576,"13,263",0,0,0,0,0,0,0,0.0,0,0,0.0
767,Gorky 17,1999/12/31,Others,433000,00:00 (00:00),83%,680,572,"9,012",0,0,0,0,0,0,0,0.0,0,0,0.0
768,Mass Effect,2008/12/19,Rpg,1554000,00:01 (00:00),94%,"12,876",571,"4,183",0,0,0,0,0,0,0,0.0,0,0,0.0
769,Trailmakers,2019/9/18,Action,213000,00:00 (00:00),88%,"3,932",569,"1,710",0,0,0,0,0,0,0,0.0,0,0,0.0
771,Besiege,2020/2/18,Simulation,2109000,03:50 (02:58),95%,"33,316",562,"11,206",0,0,0,0,0,0,0,0.0,0,0,0.0
772,Getting Over It with Bennett Foddy,2017/12/6,Action,1701000,00:00 (00:00),82%,"25,825",560,"5,054",1969320,55020,3389,36,476,455,12,35.79,1586,47789,52.11450382
773,Injustice 2,2017/11/30,Others,584000,09:52 (03:17),83%,"5,717",559,"1,873",0,0,0,0,0,0,0,0.0,0,0,0.0
774,LEGO MARVEL Super Heroes,2013/10/22,Adventure,1053000,00:00 (00:00),92%,"8,392",555,"5,953",0,0,0,0,0,0,0,0.0,0,0,0.0
776,Torchlight II,2012/9/20,Rpg,3783000,01:36 (00:32),93%,"26,783",555,"54,821",0,0,0,0,0,0,0,0.0,0,0,0.0
777,Marvel Puzzle Quest,2013/12/5,Rpg,661000,00:00 (00:00),69%,"3,773",554,"3,002",0,0,0,0,0,0,0,0.0,0,0,0.0
778,A Hat in Time,2017/10/5,Adventure,563000,01:52 (00:37),98%,"25,531",553,"7,312",0,0,0,0,0,0,0,0.0,0,0,0.0
779,Steep,2016/12/2,Action,1187000,00:00 (00:00),79%,"14,140",551,"2,113",0,0,0,0,0,0,0,0.0,0,0,0.0
780,Hardspace: Shipbreaker,2020/6/16,Simulation,260000,00:00 (00:00),90%,"5,190",550,"7,286",0,0,0,0,0,0,0,0.0,0,0,0.0
781,Forts,2017/4/19,Strategy,321000,01:00 (00:34),89%,"5,311",550,"7,280",0,0,0,0,0,0,0,0.0,0,0,0.0
782,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,2020/9/17,Rpg,103000,00:00 (00:00),87%,"1,903",543,"4,878",0,0,0,0,0,0,0,0.0,0,0,0.0
783,Everlasting Summer,2014/11/19,Adventure,1729000,00:54 (00:18),95%,"40,127",542,"1,333",0,0,0,0,0,0,0,0.0,0,0,0.0
784,Monopoly Plus,2017/9/7,Others,673000,00:01 (00:00),43%,"4,530",541,"3,180",409320,66480,773,44,382,94,15,6.16,242,5233,4.722924188
785,Robocraft,2017/8/24,Rpg,13090000,01:47 (01:11),72%,"116,868",541,"26,725",0,0,0,0,0,0,0,0.0,0,0,0.0
786,Life is Strange 2,2018/9/26,Adventure,9280000,01:01 (00:40),84%,"17,400",539,"468,717",0,0,0,0,0,0,0,0.0,0,0,0.0
787,GridIron,2020/7/23,Action,107000,00:00 (00:00),84%,670,537,792,0,0,0,0,0,0,0,0.0,0,0,0.0
789,Resident Evil 5,2009/9/15,Action,1468000,01:28 (01:28),87%,"13,365",537,"2,585",0,0,0,0,0,0,0,0.0,0,0,0.0
790,Cooking Simulator,2019/6/6,Simulation,251000,00:00 (00:00),82%,"6,883",536,"3,500",4382700,36420,28858,21,271,1014,8,120.34,675,37633,61.99835255
791,Dungeon Fighter Online,2016/8/9,Rpg,795000,00:00 (00:00),65%,"3,649",534,"3,469",2230440,103920,3168,49,223,516,24,21.46,404,55565,32.08140878
793,Spyro Reignited Trilogy,2019/9/3,Adventure,212000,05:14 (01:44),95%,"5,076",532,"4,198",532200,92820,487,42,423,123,21,5.73,333,6867,4.438914027
795,STORY OF SEASONS: Friends of Mineral Town,2020/7/14,Rpg,53000,00:00 (00:00),95%,"1,828",532,"3,706",0,0,0,0,0,0,0,0.0,0,0,0.0
796,HuniePop,2015/1/19,Rpg,979000,00:00 (00:00),96%,"18,357",531,"3,018",0,0,0,0,0,0,0,0.0,0,0,0.0
797,Little Nightmares,2017/4/27,Adventure,951000,02:10 (01:15),91%,"12,382",531,"1,742",1014300,94380,1693,49,552,234,21,10.75,1113,18096,11.50413223
798,Wizard And Minion Idle,2019/2/7,Rpg,46000,00:00 (00:00),91%,415,531,729,0,0,0,0,0,0,0,0.0,0,0,0.0
799,We Were Here Together,2019/10/10,Adventure,330000,00:00 (00:00),88%,"3,277",530,"2,261",735780,37860,2816,18,171,170,8,19.43,211,13592,21.54041204
800,TrackMania Nations Forever,2008/4/16,Others,2573000,00:24 (00:15),87%,"12,721",530,"1,375",0,0,0,0,0,0,0,0.0,0,0,0.0
802,Tales of Vesperia: Definitive Edition,2019/1/10,Rpg,178000,00:00 (00:00),85%,"1,428",530,"3,450",0,0,0,0,0,0,0,0.0,0,0,0.0
803,Hitman: Absolution,2012/11/19,Action,2985000,08:20 (05:38),90%,"22,807",530,"26,137",0,0,0,0,0,0,0,0.0,0,0,0.0
804,Tricolour Lovestory,2017/9/20,Adventure,916000,00:00 (00:00),91%,"17,520",529,"2,733",0,0,0,0,0,0,0,0.0,0,0,0.0
805,Thief,2014/2/27,Action,1455000,10:32 (07:01),73%,"12,056",528,"18,352",0,0,0,0,0,0,0,0.0,0,0,0.0
806,The Evil Within,2014/10/13,Action,1226000,00:51 (00:17),82%,"10,503",528,"4,499",0,0,0,0,0,0,0,0.0,0,0,0.0
807,Just Cause 2,2010/3/23,Action,4342000,05:23 (03:33),90%,"33,405",526,"7,547",0,0,0,0,0,0,0,0.0,0,0,0.0
808,Call of Duty: Modern Warfare 3,2011/11/8,Action,388000,00:00 (00:00),84%,"6,942",523,"46,327",0,0,0,0,0,0,0,0.0,0,0,0.0
810,Worms Armageddon,2013/3/19,Strategy,745000,01:07 (00:22),94%,"3,800",520,834,0,0,0,0,0,0,0,0.0,0,0,0.0
811,ELEX,2017/10/17,Rpg,608000,00:00 (00:00),71%,"8,228",520,"22,969",0,0,0,0,0,0,0,0.0,0,0,0.0
814,Samurai Wars,2016/7/22,Action,84000,00:00 (00:00),26%,34,518,"2,475",0,0,0,0,0,0,0,0.0,0,0,0.0
815,Conflict of Nations: World War 3,2018/3/15,Strategy,179000,00:00 (00:00),62%,821,517,538,0,0,0,0,0,0,0,0.0,0,0,0.0
816,Riders of Icarus,2016/7/6,Rpg,1806000,00:00 (00:00),66%,"9,581",515,"17,162",0,0,0,0,0,0,0,0.0,0,0,0.0
817,Gang Beasts,2017/12/12,Action,1427000,00:01 (00:00),74%,"20,537",515,"3,062",0,0,0,0,0,0,0,0.0,0,0,0.0
818,Driver Booster for Steam,2018/11/1,Others,220000,00:00 (00:00),85%,"2,033",514,603,0,0,0,0,0,0,0,0.0,0,0,0.0
821,Remaining in a dream,2016/10/18,Strategy,61000,00:00 (00:00),34%,95,512,"2,952",0,0,0,0,0,0,0,0.0,0,0,0.0
822,Wingspan,2020/9/17,Strategy,64000,00:00 (00:00),92%,806,511,855,0,0,0,0,0,0,0,0.0,0,0,0.0
823,Alien: Isolation,2014/10/6,Action,1976000,00:01 (00:00),92%,"28,244",511,"10,870",1473120,148620,1537,72,823,341,34,9.91,870,17815,7.192167945
824,GUILTY GEAR XX ACCENT CORE PLUS R,2015/5/26,Action,147000,00:00 (00:00),94%,841,510,"2,383",0,0,0,0,0,0,0,0.0,0,0,0.0
825,BONEWORKS,2019/12/10,Action,632000,00:39 (00:13),90%,"14,140",508,"8,717",0,0,0,0,0,0,0,0.0,0,0,0.0
826,Creativerse,2017/5/8,Rpg,4574000,27:52 (09:17),80%,"28,217",508,"10,929",0,0,0,0,0,0,0,0.0,0,0,0.0
827,Feed and Grow: Fish,2016/1/8,Action,247000,00:00 (00:00),79%,"4,471",507,954,0,0,0,0,0,0,0,0.0,0,0,0.0
828,Killing Floor,2009/5/14,Action,4709000,00:00 (00:00),96%,"33,929",506,"24,107",0,0,0,0,0,0,0,0.0,0,0,0.0
829,The Henry Stickmin Collection,2020/8/7,Adventure,365000,00:27 (00:09),99%,"11,824",506,"2,812",0,0,0,0,0,0,0,0.0,0,0,0.0
830,Into the Breach,2018/2/27,Rpg,544000,00:00 (00:00),93%,"8,924",505,"14,682",0,0,0,0,0,0,0,0.0,0,0,0.0
832,Yakuza Kiwami,2019/2/19,Rpg,220000,00:00 (00:00),92%,"4,310",504,"3,474",0,0,0,0,0,0,0,0.0,0,0,0.0
